id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
232,-2571,1.689364552,,,121811.5617,121.8115617,155.9213246,8.9415987
233,-2568,1.689364552,,,122266.0964,122.2660964,155.9213246,8.933786031
234,-2566,1.689364552,,,122720.631,122.720631,155.9213246,8.925973363
235,-2566,1.67336309,,,123175.1653,123.1751653,155.9213246,8.918160695
236,-2567,1.67336309,,,123629.6994,123.6296994,155.9213246,8.910348027
237,-2569,1.67336309,,,124084.2334,124.0842334,155.9213246,8.902535359
238,-2568,1.67336309,,,124593.7489,124.5937489,155.913512,8.894722691
239,-2571,1.67336309,,,125048.2825,125.0482825,155.913512,8.886910023
240,-2575,1.67336309,,,125502.8158,125.5028158,155.913512,8.879097354
241,-2578,1.67336309,,,125957.349,125.957349,155.913512,8.871284686
242,-2581,1.67336309,,,126411.882,126.411882,155.913512,8.863472018
243,-2585,1.67336309,,,126866.4148,126.8664148,155.913512,8.85565935
244,-2585,1.67336309,,,127320.9474,127.3209474,155.913512,8.847846682
245,-2598,1.67336309,,,127830.4615,127.8304615,155.9056993,8.840034014
246,-2607,1.67336309,,,128284.9937,128.2849937,155.9056993,8.832221345
247,-2613,1.67336309,,,128739.5257,128.7395257,155.9056993,8.824408677
248,-2615,1.598351359,,,129194.0576,129.1940576,155.9056993,8.816596009
249,-2618,1.598351359,,,129648.5892,129.6485892,155.9056993,8.808783341
250,-2623,1.598351359,,,130103.1207,130.1031207,155.9056993,8.800970673
251,-2628,1.598351359,,,130557.652,130.557652,155.9056993,8.793158005
252,-2634,1.598351359,,,131067.1645,131.0671645,155.8978866,8.785345337
253,-2634,1.598351359,,,131521.6954,131.5216954,155.8978866,8.777532668
254,-2646,1.598351359,,,131976.2261,131.9762261,155.8978866,8.76972
255,-2648,1.598351359,,,132430.7567,132.4307567,155.8978866,8.761907332
256,-2650,1.598351359,,,132885.287,132.885287,155.8978866,8.754094664
257,-2651,1.598351359,,,133339.8172,133.3398172,155.8978866,8.746281996
258,-2652,1.598351359,,,133794.3471,133.7943471,155.8978866,8.738469328
259,-2653,1.598351359,,,134303.8582,134.3038582,155.890074,8.730656659
260,-2653,1.598351359,,,134758.3878,134.7583878,155.890074,8.722843991
261,-2653,1.629780769,,,135212.9172,135.2129172,155.890074,8.715031323
262,-2653,1.629780769,,,135667.4464,135.6674464,155.890074,8.707218655
263,-2653,1.629780769,,,135667.4464,135.6674464,155.890074,8.707218655
264,-2653,1.629780769,,,136072.2747,136.0722747,155.890074,8.699405987
265,-2653,1.629780769,,,136527.0753,136.5270753,155.890074,8.691593319
266,-2653,1.629780769,,,136981.8757,136.9818757,155.890074,8.683780651
267,-2653,1.629780769,,,137436.6759,137.4366759,155.890074,8.675967982
268,-2652,1.629780769,,,137944.162,137.944162,155.8978866,8.668155314
269,-2653,1.629780769,,,138398.9618,138.3989618,155.8978866,8.660342646
270,-2652,1.629780769,,,138853.7615,138.8537615,155.8978866,8.652529978
271,-2652,1.629780769,,,139308.5609,139.3085609,155.8978866,8.64471731
272,-2652,1.629780769,,,139763.3601,139.7633601,155.8978866,8.636904642
273,-2654,1.629780769,,,140218.1591,140.2181591,155.8978866,8.629091974
274,-2654,1.629780769,,,140672.958,140.672958,155.8978866,8.621279305
275,-2654,1.693717122,,,141127.7566,141.1277566,155.8978866,8.613466637
276,-2655,1.693717122,,,141635.241,141.635241,155.9056993,8.605653969
277,-2656,1.693717122,,,142090.0392,142.0900392,155.9056993,8.597841301
278,-2640,1.693717122,,,142544.8373,142.5448373,155.9056993,8.590028633
279,-2609,1.693717122,,,142999.6351,142.9996351,155.9056993,8.582215965
280,-2597,1.693717122,,,143454.4328,143.4544328,155.9056993,8.574403296
281,-2597,1.693717122,,,143909.2302,143.9092302,155.9056993,8.566590628
282,-2617,1.693717122,,,144364.0275,144.3640275,155.9056993,8.55877796
283,-2609,1.693717122,,,144818.8246,144.8188246,155.9056993,8.550965292
284,-2639,1.693717122,,,145326.3072,145.3263072,155.913512,8.543152624
285,-2637,1.693717122,,,145781.1039,145.7811039,155.913512,8.535339956
286,-2626,1.693717122,,,146235.9004,146.2359004,155.913512,8.527527288
287,-2618,1.723457456,,,146690.6966,146.6906966,155.913512,8.519714619
288,-2623,1.723457456,,,147145.4927,147.1454927,155.913512,8.511901951
289,-2624,1.723457456,,,147600.2887,147.6002887,155.913512,8.504089283
290,-2624,1.723457456,,,148055.0844,148.0550844,155.913512,8.496276615
291,-2616,1.723457456,,,148509.8799,148.5098799,155.913512,8.488463947
292,-2636,1.723457456,,,149017.3608,149.0173608,155.9213246,8.480651279
293,-2632,1.723457456,,,149472.1559,149.4721559,155.9213246,8.47283861
294,-2632,1.723457456,,,149926.9508,149.9269508,155.9213246,8.465025942
295,-2633,1.723457456,,,150381.7456,150.3817456,155.9213246,8.457213274
296,-2636,1.723457456,,,150836.5401,150.8365401,155.9213246,8.449400606
297,-2642,1.723457456,,,151291.3345,151.2913345,155.9213246,8.441587938
298,-2642,1.723457456,,,151746.1286,151.7461286,155.9213246,8.43377527
299,-2644,1.723457456,,,152200.9226,152.2009226,155.9213246,8.425962602
300,-2653,1.662189722,,,152708.4018,152.7084018,155.9291373,8.418149933
301,-2654,1.662189722,,,153163.1953,153.1631953,155.9291373,8.410337265
302,-2656,1.662189722,,,153617.9887,153.6179887,155.9291373,8.402524597
303,-2657,1.662189722,,,154072.7819,154.0727819,155.9291373,8.394711929
304,-2657,1.662189722,,,154527.575,154.527575,155.9291373,8.386899261
305,-2656,1.662189722,,,154982.3678,154.9823678,155.9291373,8.379086593
306,-2656,1.662189722,,,155437.1604,155.4371604,155.9291373,8.371273925
307,-2656,1.662189722,,,155891.9529,155.8919529,155.9291373,8.363461256
308,-2656,1.662189722,,,156399.4303,156.3994303,155.93695,8.355648588
