id,Elevation,dist_m,dist_km,RMSh,RMSs,pc,pc_pn,pn
259,-2643,147299,147.299,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
260,-2644,147927,147.927,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
261,-2644,148321,148.321,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
262,-2644,148948,148.948,1.675575852,1.147525668,67.13499451,0.679658771,66.45533752
263,-2644,149576,149.576,1.675575852,1.147525668,67.13499451,0.679658771,66.45533752
264,-2644,149970,149.97,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
265,-2644,150597,150.597,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
266,-2643,150991,150.991,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
267,-2642,151618,151.618,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
268,-2641,152012,152.012,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
269,-2641,152640,152.64,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
270,-2640,153267,153.267,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
271,-2639,153661,153.661,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
272,-2639,154289,154.289,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
273,-2638,154683,154.683,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
274,-2639,155310,155.31,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
275,-2639,155938,155.938,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
276,-2639,156332,156.332,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
277,-2638,156959,156.959,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
278,-2639,157353,157.353,1.669806719,0.987815201,67.20963287,-0.269570798,67.47920227
279,-2639,157981,157.981,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
280,-2639,158608,158.608,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
281,-2639,159002,159.002,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
282,-2640,159630,159.63,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
283,-2640,160024,160.024,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
284,-2640,160651,160.651,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
285,-2640,161279,161.279,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
286,-2640,161673,161.673,1.670957208,0.876331985,67.229599,-0.736106992,67.96570587
287,-2640,162300,162.3,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
288,-2640,162695,162.695,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
289,-2640,163322,163.322,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
290,-2640,163716,163.716,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
291,-2640,164344,164.344,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
292,-2640,164971,164.971,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
293,-2640,165365,165.365,1.702535391,1.057067394,66.90583801,-0.016215255,66.92205811
294,-2639,165993,165.993,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
295,-2639,166387,166.387,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
296,-2640,167014,167.014,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
297,-2641,167642,167.642,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
298,-2641,168036,168.036,1.696009159,0.920690656,67.05884552,-0.444289178,67.50313568
