Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
167137.3,580303.7,63.244,9.8929999,161.8607998
167074.5,580807.8,63.985,9.9015998,161.8597999
167018.2,581235.7,64.076,9.9089001,161.8588999
166961.9,581663.6,65.274,9.9162005,161.8579999
166893.3,582161.8,64.782,9.9247007,161.8568999
166837.0,582589.6,66.214,9.9319994,161.8559999
166780.7,583017.5,66.047,9.9392998,161.8551000
166718.0,583515.8,66.696,9.9478008,161.8541009
166661.6,583943.6,67.308,9.9550995,161.8531993
166593.0,584441.8,68.662,9.9635998,161.8520993
166536.7,584869.7,69.222,9.9709002,161.8511993
166480.4,585297.6,69.173,9.9782006,161.8502994
166417.7,585795.8,68.197,9.9867000,161.8493004
166361.4,586223.7,68.650,9.9940004,161.8484004
166305.1,586651.6,69.437,10.0013008,161.8475005
166236.5,587149.8,69.937,10.0098011,161.8464006
166180.2,587577.6,69.987,10.0170998,161.8455007
166117.3,588081.7,69.746,10.0256997,161.8444991
166061.0,588509.6,68.693,10.0330002,161.8435992
166004.7,588937.4,68.230,10.0402989,161.8426993
165936.1,589435.6,66.357,10.0487992,161.8415994
165879.8,589863.5,66.016,10.0560996,161.8406995
165823.5,590291.4,62.332,10.0634001,161.8397996
165760.8,590789.6,57.187,10.0718995,161.8388007
165704.5,591217.5,52.097,10.0792000,161.8379008
165635.8,591715.7,47.302,10.0877003,161.8367992
165579.5,592143.6,42.575,10.0950007,161.8358994
165523.2,592571.4,37.799,10.1022995,161.8349995
165460.5,593069.7,37.420,10.1108006,161.8340006
165404.2,593497.6,37.702,10.1181011,161.8331007
165347.8,593925.4,38.396,10.1253999,161.8321992
165279.2,594423.6,38.365,10.1339002,161.8310993
165222.9,594851.4,38.515,10.1411990,161.8301995
165154.3,595349.6,38.770,10.1496994,161.8290996
165098.0,595777.5,38.559,10.1569998,161.8281998
165041.7,596205.4,38.272,10.1643003,161.8272999
164978.9,596709.5,39.137,10.1729004,161.8263002
164922.6,597137.4,38.805,10.1802009,161.8254004
164866.3,597565.3,39.268,10.1875014,161.8245006
