id,point_id,Elevation,dist_m,dist_km,Sub_1_Thic,Depth,RMSh
1893,1893,-2851,949056.7652,949.0567652,,,1.689622164
1894,1894,-2851,949517.1463,949.5171463,,,1.689622164
1895,1895,-2852,949977.5271,949.9775271,,,1.689622164
1896,1896,-2855,950437.9076,950.4379076,,,1.689622164
1897,1897,-2855,950898.2878,950.8982878,,,1.689622164
1898,1898,-2857,951358.6676,951.3586676,,,1.689622164
1899,1899,-2860,951819.047,951.819047,,,1.689622164
1900,1900,-2862,952279.4262,952.2794262,,,1.889055014
1901,1901,-2864,952739.8049,952.7398049,,,1.889055014
1902,1902,-2865,953200.1834,953.2001834,,,1.889055014
1903,1903,-2865,953660.5615,953.6605615,,,1.889055014
1904,1904,-2865,954120.9393,954.1209393,,,1.889055014
1905,1905,-2867,954581.3167,954.5813167,,,1.889055014
1906,1906,-2867,955041.6938,955.0416938,,,1.889055014
1907,1907,-2869,955502.0706,955.5020706,,,1.889055014
1908,1908,-2871,955990.5451,955.9905451,,,1.889055014
1909,1909,-2870,956450.9211,956.4509211,,,1.889055014
1910,1910,-2869,956911.2968,956.9112968,,,1.889055014
1911,1911,-2869,957371.6722,957.3716722,,,1.889055014
1912,1912,-2868,957832.0473,957.8320473,,,1.889055014
1913,1913,-2868,958292.422,958.292422,,,2.013739347
1914,1914,-2867,958752.7963,958.7527963,,,2.013739347
1915,1915,-2867,959213.1703,959.2131703,,,2.013739347
1916,1916,-2867,959673.544,959.673544,,,2.013739347
1917,1917,-2867,960133.9174,960.1339174,,,2.013739347
1918,1918,-2868,960594.2904,960.5942904,,,2.013739347
1919,1919,-2869,961054.663,961.054663,,,2.013739347
1920,1920,-2870,961515.0353,961.5150353,,,2.013739347
1921,1921,-2870,961975.4073,961.9754073,,,2.013739347
1922,1922,-2870,962435.779,962.435779,,,2.013739347
1923,1923,-2870,962896.1503,962.8961503,,,2.013739347
1924,1924,-2870,963384.619,963.384619,,,2.013739347
1925,1925,-2870,963844.9896,963.8449896,,,2.013739347
1926,1926,-2870,964305.3598,964.3053598,,,1.914641619
1927,1927,-2870,964765.7298,964.7657298,,,1.914641619
1928,1928,-2870,965226.0993,965.2260993,,,1.914641619
1929,1929,-2870,965686.4686,965.6864686,,,1.914641619
1930,1930,-2870,966146.8375,966.1468375,,,1.914641619
1931,1931,-2870,966607.2061,966.6072061,,,1.914641619
1932,1932,-2870,967067.5743,967.0675743,,,1.914641619
1933,1933,-2870,967527.9422,967.5279422,,,1.914641619
1934,1934,-2870,967988.3097,967.9883097,,,1.914641619
1935,1935,-2870,968448.6769,968.4486769,,,1.914641619
1936,1936,-2869,968909.0438,968.9090438,,,1.914641619
1937,1937,-2869,969369.4103,969.3694103,,,1.914641619
1938,1938,-2869,969829.7765,969.8297765,,,1.914641619
1939,1939,-2869,970290.1423,970.2901423,,,1.956542373
1940,1940,-2870,970778.6052,970.7786052,,,1.956542373
1941,1941,-2870,971238.9703,971.2389703,,,1.956542373
1942,1942,-2870,971699.3351,971.6993351,,,1.956542373
1943,1943,-2870,972159.6996,972.1596996,,,1.956542373
